日付,種別,タイトル,本文
2026-07-07,全員,ようこそ,「全国お水取りマップ」へようこそ。地図をタップすると方位と距離を確認できます。
2026-07-07,会員,7月の会員向けメッセージ,今月のテーマ音源を「今月のあなたのテーマ」からお聴きいただけます。推奨日をチェックしてお水取りへお出かけください。
